model,task,cv_type,eval_set,sensor_config,num_seconds,fold,doctor_trials,f1,precision,recall,accuracy,Lump_f1,Lump_precision,Lump_recall,Lump_acc,Size_f1,Size_precision,Size_recall,Size_acc,Position_f1,Position_precision,Position_recall,Position_acc,combined_f1,combined_precision,combined_recall,combined_accuracy
inceptiontime,lump_binary,group,val,tips,1,0,0,0.642292490118577,0.7454128440366973,0.5642361111111112,0.6857638888888888,,,,,,,,,,,,,0.642292490118577,0.7454128440366973,0.5642361111111112,0.6857638888888888
inceptiontime,lump_binary,group,doctors_test,tips,1,0,0,0.5228215767634855,0.6494845360824743,0.4375,0.6006944444444444,,,,,,,,,,,,,0.5228215767634855,0.6494845360824743,0.4375,0.6006944444444444
inceptiontime,lump_binary,group,val,tips,1,1,0,0.6720947446336047,0.5858064516129032,0.7881944444444444,0.6154513888888888,,,,,,,,,,,,,0.6720947446336047,0.5858064516129032,0.7881944444444444,0.6154513888888888
inceptiontime,lump_binary,group,doctors_test,tips,1,1,0,0.496,0.5849056603773585,0.4305555555555556,0.5625,,,,,,,,,,,,,0.496,0.5849056603773585,0.4305555555555556,0.5625
inceptiontime,lump_binary,group,val,tips,1,2,0,0.6498194945848376,0.6766917293233082,0.625,0.6631944444444444,,,,,,,,,,,,,0.6498194945848376,0.6766917293233082,0.625,0.6631944444444444
inceptiontime,lump_binary,group,doctors_test,tips,1,2,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,group,val,tips,1,3,0,0.6285300506879073,0.5391304347826087,0.7534722222222222,0.5546875,,,,,,,,,,,,,0.6285300506879073,0.5391304347826087,0.7534722222222222,0.5546875
inceptiontime,lump_binary,group,doctors_test,tips,1,3,0,0.6666666666666666,0.5,1.0,0.5,,,,,,,,,,,,,0.6666666666666666,0.5,1.0,0.5
inceptiontime,lump_binary,group,val,tips,1,4,0,0.7210355987055016,0.5748194014447885,0.9670138888888888,0.6258680555555556,,,,,,,,,,,,,0.7210355987055016,0.5748194014447885,0.9670138888888888,0.6258680555555556
inceptiontime,lump_binary,group,doctors_test,tips,1,4,0,0.6054590570719603,0.47104247104247104,0.8472222222222222,0.4479166666666667,,,,,,,,,,,,,0.6054590570719603,0.47104247104247104,0.8472222222222222,0.4479166666666667
inceptiontime,lump_binary,group,val,tips,1,0,1,0.726890756302521,0.6091549295774648,0.9010416666666666,0.6614583333333334,,,,,,,,,,,,,0.726890756302521,0.6091549295774648,0.9010416666666666,0.6614583333333334
inceptiontime,lump_binary,group,val,tips,1,1,1,0.6061615320566195,0.5977011494252874,0.6148648648648649,0.6018518518518519,,,,,,,,,,,,,0.6061615320566195,0.5977011494252874,0.6148648648648649,0.6018518518518519
inceptiontime,lump_binary,group,val,tips,1,2,1,0.6357504215851602,0.6180327868852459,0.6545138888888888,0.625,,,,,,,,,,,,,0.6357504215851602,0.6180327868852459,0.6545138888888888,0.625
inceptiontime,lump_binary,group,val,tips,1,3,1,0.6690328305235137,0.6842105263157895,0.6545138888888888,0.6762152777777778,,,,,,,,,,,,,0.6690328305235137,0.6842105263157895,0.6545138888888888,0.6762152777777778
inceptiontime,lump_binary,group,val,tips,1,4,1,0.6957055214723926,0.5379506641366224,0.984375,0.5694444444444444,,,,,,,,,,,,,0.6957055214723926,0.5379506641366224,0.984375,0.5694444444444444
