model,task,cv_type,fold,doctor_trials,f1,precision,recall,accuracy
inceptiontime,lump_binary,group,0,0,0.7029804727646455,0.8614609571788413,0.59375,0.7491319444444444
inceptiontime,lump_binary,group,1,0,0.6884561891515995,0.574245939675174,0.859375,0.6111111111111112
inceptiontime,lump_binary,group,2,0,0.6735218508997429,0.6649746192893401,0.6822916666666666,0.6692708333333334
inceptiontime,lump_binary,group,3,0,0.8037542662116041,0.790268456375839,0.8177083333333334,0.8003472222222222
inceptiontime,lump_binary,group,4,0,0.7411242603550295,0.645618556701031,0.8697916666666666,0.6961805555555556
inceptiontime,lump_binary,group,0,1,0.756797583081571,0.6697860962566845,0.8697916666666666,0.7204861111111112
inceptiontime,lump_binary,group,1,1,0.7016806722689075,0.5992822966507177,0.8462837837837838,0.6414141414141414
inceptiontime,lump_binary,group,2,1,0.6337157987643425,0.644524236983842,0.6232638888888888,0.6397569444444444
inceptiontime,lump_binary,group,3,1,0.7882797731568998,0.8651452282157677,0.7239583333333334,0.8055555555555556
inceptiontime,lump_binary,group,4,1,0.7429443173150267,0.6625850340136055,0.8454861111111112,0.7074652777777778
inceptiontime,lump_binary,group,0,2,0.677992277992278,0.6390101892285298,0.7220394736842105,0.6593137254901961
inceptiontime,lump_binary,group,1,2,0.75,0.7042682926829268,0.8020833333333334,0.7326388888888888
inceptiontime,lump_binary,group,2,2,0.7090301003344481,0.6838709677419355,0.7361111111111112,0.6979166666666666
inceptiontime,lump_binary,group,3,2,0.7494181536074477,0.6774193548387096,0.8385416666666666,0.7196180555555556
inceptiontime,lump_binary,group,4,2,0.7567567567567568,0.6666666666666666,0.875,0.71875
inceptiontime,lump_binary,group,0,3,0.7767441860465116,0.7016806722689075,0.8697916666666666,0.75
inceptiontime,lump_binary,group,1,3,0.6761194029850747,0.63268156424581,0.7259615384615384,0.6555555555555556
inceptiontime,lump_binary,group,2,3,0.8145580589254766,0.8131487889273357,0.8159722222222222,0.8142361111111112
inceptiontime,lump_binary,group,3,3,0.6532438478747203,0.5725490196078431,0.7604166666666666,0.5963541666666666
inceptiontime,lump_binary,group,4,3,0.7501945525291829,0.6798307475317349,0.8368055555555556,0.7213541666666666
inceptiontime,lump_binary,group,0,4,0.7732558139534884,0.665,0.9236111111111112,0.7291666666666666
inceptiontime,lump_binary,group,1,4,0.6519480519480519,0.5577777777777778,0.784375,0.5864197530864198
inceptiontime,lump_binary,group,2,4,0.7312312312312312,0.6441798941798942,0.8454861111111112,0.6892361111111112
inceptiontime,lump_binary,group,3,4,0.827922077922078,0.7774390243902439,0.8854166666666666,0.8159722222222222
inceptiontime,lump_binary,group,4,4,0.7564935064935064,0.7103658536585366,0.8090277777777778,0.7395833333333334
inceptiontime,lump_binary,group,0,5,0.6992481203007519,0.6899109792284867,0.7088414634146342,0.6951219512195121
inceptiontime,lump_binary,group,1,5,0.7682737169517885,0.6957746478873239,0.8576388888888888,0.7413194444444444
inceptiontime,lump_binary,group,2,5,0.6440443213296398,0.5357142857142857,0.8072916666666666,0.5538194444444444
inceptiontime,lump_binary,group,3,5,0.7696118909991743,0.7338582677165354,0.8090277777777778,0.7578125
inceptiontime,lump_binary,group,4,5,0.8307453416149069,0.7514044943820225,0.9288194444444444,0.8107638888888888
inceptiontime,lump_binary,group,0,6,0.7285491419656787,0.6614730878186968,0.8107638888888888,0.6979166666666666
inceptiontime,lump_binary,group,1,6,0.7524752475247525,0.6761565836298933,0.8482142857142857,0.7176204819277109
inceptiontime,lump_binary,group,2,6,0.6461988304093568,0.5580808080808081,0.7673611111111112,0.5798611111111112
inceptiontime,lump_binary,group,3,6,0.7936802973977695,0.854,0.7413194444444444,0.8072916666666666
inceptiontime,lump_binary,group,4,6,0.7622641509433963,0.6742323097463284,0.8767361111111112,0.7265625
inceptiontime,lump_binary,group,0,7,0.7696924231057765,0.6776750330250991,0.890625,0.7335069444444444
inceptiontime,lump_binary,group,1,7,0.7285129604365621,0.6863753213367609,0.7761627906976745,0.7038690476190477
inceptiontime,lump_binary,group,2,7,0.7441130298273155,0.6790830945558739,0.8229166666666666,0.7170138888888888
inceptiontime,lump_binary,group,3,7,0.7125890736342043,0.6550218340611353,0.78125,0.6848958333333334
inceptiontime,lump_binary,group,4,7,0.7269914926527455,0.6555090655509066,0.8159722222222222,0.6935763888888888
inceptiontime,lump_binary,group,0,8,0.7657142857142857,0.6504854368932039,0.9305555555555556,0.7152777777777778
inceptiontime,lump_binary,group,1,8,0.7192118226600985,0.7126917712691772,0.7258522727272727,0.7066176470588236
inceptiontime,lump_binary,group,2,8,0.7436096049573974,0.6713286713286714,0.8333333333333334,0.7126736111111112
inceptiontime,lump_binary,group,3,8,0.7548387096774194,0.7048192771084337,0.8125,0.7361111111111112
inceptiontime,lump_binary,group,4,8,0.6599326599326599,0.6405228758169934,0.6805555555555556,0.6493055555555556
inceptiontime,lump_binary,group,0,9,0.7910447761194029,0.693717277486911,0.9201388888888888,0.7569444444444444
inceptiontime,lump_binary,group,1,9,0.7158620689655173,0.7109589041095891,0.7208333333333333,0.7005813953488372
inceptiontime,lump_binary,group,2,9,0.6409155937052933,0.5450121654501217,0.7777777777777778,0.5642361111111112
inceptiontime,lump_binary,group,3,9,0.7596153846153846,0.8512931034482759,0.6857638888888888,0.7829861111111112
inceptiontime,lump_binary,group,4,9,0.705229793977813,0.6486880466472303,0.7725694444444444,0.6770833333333334
inceptiontime,lump_binary,group,0,10,0.7193778353856124,0.6743620899149453,0.7708333333333334,0.6889367816091954
inceptiontime,lump_binary,group,1,10,0.7343283582089553,0.643979057591623,0.8541666666666666,0.6909722222222222
inceptiontime,lump_binary,group,2,10,0.733013040494166,0.6061293984108967,0.9270833333333334,0.6623263888888888
inceptiontime,lump_binary,group,3,10,0.7438148443735035,0.6883308714918759,0.8090277777777778,0.7213541666666666
inceptiontime,lump_binary,group,4,10,0.732612055641422,0.6601671309192201,0.8229166666666666,0.6996527777777778
inceptiontime,lump_binary,group,0,11,0.718052738336714,0.5880398671096345,0.921875,0.6380208333333334
inceptiontime,lump_binary,group,1,11,0.7003942181340341,0.6645885286783042,0.7402777777777778,0.6761363636363636
inceptiontime,lump_binary,group,2,11,0.7402894135567403,0.6594301221166893,0.84375,0.7039930555555556
inceptiontime,lump_binary,group,3,11,0.7045985970381917,0.6393210749646393,0.7847222222222222,0.6710069444444444
inceptiontime,lump_binary,group,4,11,0.7352472089314195,0.6799410029498525,0.8003472222222222,0.7118055555555556
inceptiontime,lump_binary,group,0,12,0.6721407624633431,0.581725888324873,0.7958333333333333,0.6074438202247191
inceptiontime,lump_binary,group,1,12,0.8373333333333334,0.8579234972677595,0.8177083333333334,0.8411458333333334
inceptiontime,lump_binary,group,2,12,0.7880149812734082,0.6930171277997365,0.9131944444444444,0.7543402777777778
inceptiontime,lump_binary,group,3,12,0.6762132060461417,0.6240822320117474,0.7378472222222222,0.6467013888888888
inceptiontime,lump_binary,group,4,12,0.7518672199170124,0.7201907790143084,0.7864583333333334,0.7404513888888888
inceptiontime,lump_binary,group,0,13,0.7104247104247104,0.6618705035971223,0.7666666666666667,0.6875
inceptiontime,lump_binary,group,1,13,0.7204968944099379,0.651685393258427,0.8055555555555556,0.6875
inceptiontime,lump_binary,group,2,13,0.7843438219493477,0.7028885832187071,0.8871527777777778,0.7560763888888888
inceptiontime,lump_binary,group,3,13,0.6866438356164384,0.6773648648648649,0.6961805555555556,0.6822916666666666
inceptiontime,lump_binary,group,4,13,0.721259842519685,0.659942363112392,0.7951388888888888,0.6927083333333334
inceptiontime,lump_binary,group,0,14,0.7087316762268961,0.6548881036513545,0.7722222222222223,0.6826388888888889
inceptiontime,lump_binary,group,1,14,0.7245461720599842,0.6642547033285094,0.796875,0.6970486111111112
inceptiontime,lump_binary,group,2,14,0.759027266028003,0.6594110115236875,0.8940972222222222,0.7161458333333334
inceptiontime,lump_binary,group,3,14,0.656,0.6721311475409836,0.640625,0.6640625
inceptiontime,lump_binary,group,4,14,0.7135761589403974,0.6819620253164557,0.7482638888888888,0.6996527777777778
inceptiontime,lump_binary,group,0,15,0.692524682651622,0.7034383954154728,0.6819444444444445,0.6972222222222222
inceptiontime,lump_binary,group,1,15,0.7285067873303167,0.644,0.8385416666666666,0.6875
inceptiontime,lump_binary,group,2,15,0.7453323375653472,0.653997378768021,0.8663194444444444,0.7039930555555556
inceptiontime,lump_binary,group,3,15,0.7054735013032146,0.7060869565217391,0.7048611111111112,0.7057291666666666
inceptiontime,lump_binary,group,4,15,0.6829268292682927,0.6422018348623854,0.7291666666666666,0.6614583333333334
inceptiontime,lump_binary,plain,0,0,0.9170230966638152,0.9038785834738617,0.9305555555555556,0.9157986111111112
inceptiontime,lump_binary,plain,1,0,0.9140893470790378,0.9047619047619048,0.9236111111111112,0.9131944444444444
inceptiontime,lump_binary,plain,2,0,0.9337919174548581,0.9250425894378195,0.9427083333333334,0.9331597222222222
inceptiontime,lump_binary,plain,3,0,0.9193277310924369,0.8908794788273615,0.9496527777777778,0.9166666666666666
inceptiontime,lump_binary,plain,4,0,0.9150214592274678,0.9049235993208828,0.9253472222222222,0.9140625
inceptiontime,lump_binary,plain,0,1,0.9259574468085107,0.9142857142857143,0.9379310344827586,0.925
inceptiontime,lump_binary,plain,1,1,0.9233390119250426,0.9109243697478991,0.9360967184801382,0.9223468507333908
inceptiontime,lump_binary,plain,2,1,0.9146757679180887,0.9038785834738617,0.92573402417962,0.913718723037101
inceptiontime,lump_binary,plain,3,1,0.90595340811044,0.9051724137931034,0.9067357512953368,0.90595340811044
inceptiontime,lump_binary,plain,4,1,0.9260226283724978,0.9333333333333333,0.918825561312608,0.9266609145815358
inceptiontime,lump_binary,plain,0,2,0.9281487743026204,0.915,0.9416809605488851,0.9271636675235647
inceptiontime,lump_binary,plain,1,2,0.9217830109335576,0.9042904290429042,0.9399656946826758,0.9203084832904884
inceptiontime,lump_binary,plain,2,2,0.9057547956630525,0.880064829821718,0.9329896907216495,0.9030874785591767
inceptiontime,lump_binary,plain,3,2,0.9269949066213922,0.9161073825503355,0.9381443298969072,0.9262435677530018
inceptiontime,lump_binary,plain,4,2,0.9217540842648323,0.9225473321858864,0.9209621993127147,0.9219554030874786
inceptiontime,lump_binary,plain,0,3,0.9189640768588136,0.900163666121113,0.9385665529010239,0.9173764906303237
inceptiontime,lump_binary,plain,1,3,0.9445865302642796,0.9437819420783645,0.9453924914675768,0.944633730834753
inceptiontime,lump_binary,plain,2,3,0.9210084033613445,0.9072847682119205,0.9351535836177475,0.919931856899489
inceptiontime,lump_binary,plain,3,3,0.9270746018440905,0.9095394736842105,0.9452991452991453,0.9258312020460358
inceptiontime,lump_binary,plain,4,3,0.9153976311336718,0.9061976549413735,0.9247863247863248,0.9147485080988917
inceptiontime,lump_binary,plain,0,4,0.9191919191919192,0.9115191986644408,0.9269949066213922,0.9187129551227773
inceptiontime,lump_binary,plain,1,4,0.9312977099236641,0.9305084745762712,0.9320882852292021,0.9314140558848434
inceptiontime,lump_binary,plain,2,4,0.9249146757679181,0.9296740994854202,0.9202037351443124,0.9254868755292125
inceptiontime,lump_binary,plain,3,4,0.9251471825063078,0.9166666666666666,0.933786078098472,0.9246401354784082
inceptiontime,lump_binary,plain,4,4,0.9230769230769231,0.9278350515463918,0.9183673469387755,0.923728813559322
inceptiontime,lump_binary,plain,0,5,0.9330024813895782,0.9141004862236629,0.9527027027027027,0.9315878378378378
inceptiontime,lump_binary,plain,1,5,0.9305084745762712,0.9336734693877551,0.9273648648648649,0.9307432432432432
inceptiontime,lump_binary,plain,2,5,0.9315525876460768,0.9207920792079208,0.9425675675675675,0.9307432432432432
inceptiontime,lump_binary,plain,3,5,0.9253486464315013,0.8995215311004785,0.9527027027027027,0.9231418918918919
inceptiontime,lump_binary,plain,4,5,0.9257142857142857,0.8957345971563981,0.9577702702702703,0.9231418918918919
